"STATION","DATE","TMAX","TMAX_ATTRIBUTES"
"USW00012839","2016-10-20","85",",,W"
"USW00012839","2016-10-21","87",",,W"
"USW00012839","2016-10-22","82",",,W"
"USW00012839","2016-10-23","83",",,W"
"USW00012839","2016-10-24","83",",,W"
"USW00012839","2016-10-25","82",",,W"
"USW00012839","2016-10-26","86",",,W"
"USW00012839","2016-10-27","81",",,W"
"USW00012839","2016-10-28","81",",,W"
"USW00012839","2016-10-29","81",",,W"
"USW00012839","2016-10-30","82",",,W"
"USW00012839","2016-10-31","82",",,W"
"USW00012839","2016-11-01","82",",,W"
"USW00012839","2016-11-02","85",",,W"
"USW00012839","2016-11-03","79",",,W"
"USW00012839","2016-11-04","83",",,W"
"USW00012839","2016-11-05","82",",,W"
"USW00012839","2016-11-06","81",",,W"
"USW00012839","2016-11-07","80",",,W"
"USW00012839","2016-11-08","81",",,W"
"USW00012839","2016-11-09","81",",,W"
"USW00012839","2016-11-10","83",",,W"
"USW00012839","2016-11-11","83",",,W"
"USW00012839","2016-11-12","82",",,W"
"USW00012839","2016-11-13","81",",,W"
"USW00012839","2016-11-14","81",",,W"
